BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.3117;Name=Alpha-glucosidase (EC 3.2.1.20);Ontology_term=KEGG_ENZYME:3.2.1.20	0	2	0	0	2	2	4	0	2	0	10	4	0	0	4
ID=fig|671267.8.peg.3118;Name=hypothetical protein	0	4	4	2	2	2	6	0	0	6	2	2	0	0	2
ID=fig|671267.8.peg.3119;Name=Alpha-glucosidase (EC 3.2.1.20);Ontology_term=KEGG_ENZYME:3.2.1.20	0	0	4	0	4	0	4	0	0	4	6	3	0	0	0
ID=fig|671267.8.peg.3120;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	2	2	1	0	0	0
ID=fig|671267.8.peg.3121;Name=hypothetical protein	0	1	0	0	0	2	0	0	1	0	4	0	0	0	0
ID=fig|671267.8.peg.3122;Name=Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific) (EC 3.6.1.66);Ontology_term=KEGG_ENZYME:3.6.1.66	12	9	14	6	14	4	10	2	5	20	24	8	2	4	0
ID=fig|671267.8.peg.3123;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3124;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	271	930	634	294	284	404	315	64	168	1125	1652	1426	655	468	404
ID=fig|671267.8.peg.3125;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	139	560	429	132	168	160	149	44	88	579	1019	854	338	328	245
ID=fig|671267.8.peg.3126;Name=Mobile element protein	124	146	129	32	98	42	60	14	36	143	272	210	96	106	72
ID=fig|671267.8.peg.3127;Name=hypothetical protein	2	6	2	0	0	0	4	0	0	2	8	4	7	2	0
ID=fig|671267.8.peg.3128;Name=hypothetical protein	2	0	4	0	8	2	2	0	0	18	18	8	6	2	0
ID=fig|671267.8.peg.3129;Name=ABC transporter%2C ATP-binding protein	0	4	6	4	6	2	0	0	4	10	16	4	2	0	2
ID=fig|671267.8.peg.3130;Name=Putative TonB-dependent receptor	0	2	0	0	2	0	0	0	0	2	2	0	0	0	2
ID=fig|671267.8.peg.3131;Name=hypothetical protein	20	18	12	6	12	10	4	6	0	45	30	48	10	18	8
ID=fig|671267.8.peg.3132;Name=hypothetical protein	7	18	16	12	21	14	9	0	4	44	73	56	35	6	8
ID=fig|671267.8.peg.3133;Name=hypothetical protein	67	224	184	70	143	140	103	74	86	207	281	238	113	156	122
ID=fig|671267.8.peg.3134;Name=hypothetical protein	55	71	64	32	41	21	20	7	20	54	87	83	37	20	12
ID=fig|671267.8.peg.3135;Name=Uncharacterized membrane-anchored protein%2C YitT family	19	34	24	30	37	21	30	5	6	47	51	44	19	8	12
ID=fig|671267.8.peg.3136;Name=Leucyl-tRNA synthetase (EC 6.1.1.4);Ontology_term=KEGG_ENZYME:6.1.1.4	100	171	144	120	310	126	204	50	42	225	241	132	134	108	72
ID=fig|671267.8.peg.3137;Name=hypothetical protein	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0
ID=fig|671267.8.peg.3138;Name=Tricorn protease homolog 1 (EC 3.4.21.-);Ontology_term=KEGG_ENZYME:3.4.21.-	91	353	336	96	140	166	132	72	76	413	518	501	196	178	98
ID=fig|671267.8.peg.3139;Name=RNA polymerase ECF-type sigma factor	7	0	2	0	4	2	2	0	4	10	18	8	4	4	6
ID=fig|671267.8.peg.3140;Name=Putative anti-sigma factor	25	2	2	2	8	2	10	2	0	10	11	9	6	3	2
ID=fig|671267.8.peg.3141;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	16	64	36	14	18	20	18	2	8	60	163	97	32	41	25
ID=fig|671267.8.peg.3142;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	4	47	12	2	6	10	14	0	4	30	84	71	20	6	15
ID=fig|671267.8.peg.3143;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	104	111	72	40	68	76	56	14	32	180	186	177	62	114	74
ID=fig|671267.8.peg.3144;Name=Glucan 1%2C4-beta-glucosidase	14	66	76	10	22	28	2	6	4	90	114	142	40	34	24
ID=fig|671267.8.peg.3145;Name=Putative coenzyme A transferase	48	272	243	104	208	156	134	44	53	358	318	206	163	132	92
ID=fig|671267.8.peg.3146;Name=hypothetical protein	22	30	37	18	44	18	30	2	15	64	62	52	25	16	18
ID=fig|671267.8.peg.3147;Name=tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3);Ontology_term=KEGG_ENZYME:2.8.4.3	102	149	122	38	97	62	64	24	26	129	120	99	55	77	56
ID=fig|671267.8.peg.3148;Name=Peptidylprolyl isomerase%2C FKBP-type (EC 5.2.1.8) / Macrophage infectivity potentiator;Ontology_term=KEGG_ENZYME:5.2.1.8	36	61	32	10	13	6	17	5	14	61	59	33	35	31	18
ID=fig|671267.8.peg.3149;Name=SAM-dependent methyltransferase BT3209	48	66	66	90	220	39	128	25	34	121	145	72	54	39	18
ID=fig|671267.8.peg.3150;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsX	42	34	14	34	91	17	75	8	14	62	72	53	26	23	10
ID=fig|671267.8.peg.3151;Name=FIG00936924: hypothetical protein	17	18	8	9	20	2	19	2	2	29	32	23	6	1	6
ID=fig|671267.8.peg.3152;Name=Undecaprenyl-diphosphatase (EC 3.6.1.27);Ontology_term=KEGG_ENZYME:3.6.1.27	23	32	30	37	70	10	58	4	10	72	97	63	20	7	10
ID=fig|671267.8.peg.3153;Name=tRNA pseudouridine(55) synthase (EC 5.4.99.25);Ontology_term=KEGG_ENZYME:5.4.99.25	26	61	53	50	114	43	52	9	18	74	76	47	28	24	21
ID=fig|671267.8.peg.3154;Name=S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17);Ontology_term=KEGG_ENZYME:2.4.99.17	48	155	126	103	244	104	183	39	63	212	331	192	82	102	48
ID=fig|671267.8.peg.3155;Name=2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3);Ontology_term=KEGG_ENZYME:2.7.6.3	12	16	13	9	25	7	29	6	9	16	29	36	16	6	3
ID=fig|671267.8.peg.3156;Name=Uncharacterized ATPase%2C AAA superfamily	4	22	11	8	20	8	6	2	4	46	26	40	22	12	8
ID=fig|671267.8.repeat.127;Name=repeat region	2	0	2	1	0	0	3	2	0	2	2	0	2	1	0
ID=fig|671267.8.peg.3157;Name=Transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3158;Name=Degenerate transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3159;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3160;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3161;Name=SAM-dependent methyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ID=fig|671267.8.peg.3162;Name=TPR-repeat-containing protein	0	2	8	14	18	10	20	2	0	6	14	2	8	2	10
ID=fig|671267.8.peg.3163;Name=hypothetical protein	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.3164;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
ID=fig|671267.8.peg.3165;Name=hypothetical protein	86	100	88	42	66	62	58	28	26	150	148	96	54	54	52
ID=fig|671267.8.peg.3166;Name=Integral membrane protein	2	8	4	12	24	2	4	2	0	12	10	6	8	4	4
ID=fig|671267.8.peg.3167;Name=Uncharacterized transporter YebQ%2C major facilitator superfamily (MFS)	4	12	10	10	8	8	10	6	4	8	4	6	4	4	2
ID=fig|671267.8.peg.3168;Name=S-adenosylmethionine synthetase (EC 2.5.1.6);Ontology_term=KEGG_ENZYME:2.5.1.6	119	212	184	168	396	154	233	58	68	233	293	155	134	147	106
ID=fig|671267.8.peg.3169;Name=Decarboxylase family protein	3	4	4	8	16	8	4	0	2	3	9	2	4	1	10
ID=fig|671267.8.peg.3170;Name=hypothetical protein	9	4	4	6	10	10	6	0	0	14	0	2	4	10	6
ID=fig|671267.8.peg.3171;Name=Uroporphyrinogen-III synthase (EC 4.2.1.75);Ontology_term=KEGG_ENZYME:4.2.1.75	42	62	18	58	158	38	124	20	14	87	102	42	66	30	22
ID=fig|671267.8.peg.3172;Name=Ribonuclease P protein component (EC 3.1.26.5);Ontology_term=KEGG_ENZYME:3.1.26.5	18	33	20	12	54	24	18	4	6	22	46	24	24	18	8
ID=fig|671267.8.peg.3173;Name=Membrane protein insertion efficiency factor YidD	2	5	11	3	8	6	7	6	4	7	15	7	3	0	5
ID=fig|671267.8.peg.3174;Name=Putative deoxyribonuclease YjjV	0	13	7	9	32	12	17	0	4	14	27	15	9	10	3
ID=fig|671267.8.peg.3175;Name=Tyrosyl-tRNA synthetase (EC 6.1.1.1);Ontology_term=KEGG_ENZYME:6.1.1.1	102	129	108	90	305	94	150	34	42	214	228	142	114	70	58
ID=fig|671267.8.peg.3176;Name=hypothetical protein	68	90	114	78	132	68	164	28	104	86	145	96	41	94	66
ID=fig|671267.8.peg.3177;Name=hypothetical protein	20	28	24	36	74	28	50	12	12	46	39	28	1	36	12
ID=fig|671267.8.peg.3178;Name=hypothetical protein	0	0	0	4	0	4	2	0	0	4	4	2	0	2	0
ID=fig|671267.8.peg.3179;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3180;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0
ID=fig|671267.8.peg.3181;Name=putative Tricorn-like protease	90	137	138	92	135	82	86	32	50	224	240	146	84	84	26
ID=fig|671267.8.peg.3182;Name=hypothetical protein	9	0	2	8	5	2	2	0	4	8	6	6	8	2	2
ID=fig|671267.8.peg.3183;Name=hypothetical protein	2	7	6	3	20	4	6	2	0	17	17	5	6	4	4
ID=fig|671267.8.peg.3184;Name=Immunoreactive 53 kDa antigen PG123	8	46	30	17	32	28	20	10	4	71	43	21	46	22	8
ID=fig|671267.8.peg.3185;Name=hypothetical protein	8	24	28	18	30	12	16	4	6	93	56	32	41	12	23
ID=fig|671267.8.peg.3186;Name=hypothetical protein	13	55	21	14	40	16	25	0	4	68	35	21	33	11	15
ID=fig|671267.8.peg.3187;Name=hypothetical protein	69	67	68	26	52	32	25	10	10	128	52	50	52	39	28
ID=fig|671267.8.peg.3188;Name=hypothetical protein	38	60	23	8	42	16	36	2	16	89	117	65	36	16	32
ID=fig|671267.8.peg.3189;Name=hypothetical protein	10	42	40	17	18	20	22	13	6	19	21	21	21	13	11
ID=fig|671267.8.repeat.128;Name=repeat region	6	17	14	7	14	8	1	3	2	6	14	9	3	4	5
ID=fig|671267.8.peg.3190;Name=hypothetical protein	150	334	409	134	216	141	209	156	217	266	437	278	132	208	130
ID=fig|671267.8.peg.3191;Name=DNA mismatch repair protein MutS	51	118	62	50	100	46	124	18	32	135	104	94	60	52	20
ID=fig|671267.8.peg.3192;Name=beta-glycosyl hydrolase	83	186	165	105	120	131	112	33	40	170	234	188	78	101	69
ID=fig|671267.8.peg.3193;Name=hypothetical protein	62	58	139	36	98	69	38	18	4	116	119	81	44	62	20
ID=fig|671267.8.peg.3194;Name=TPR-repeat-containing protein	16	28	42	16	65	21	14	2	2	59	58	25	40	8	10
ID=fig|671267.8.peg.3195;Name=hypothetical protein	92	52	62	34	90	36	16	6	10	74	165	52	50	36	14
ID=fig|671267.8.peg.3196;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	3	0	2	0	0
ID=fig|671267.8.peg.3197;Name=TPR-repeat-containing proteins	4	10	8	4	12	0	8	2	0	6	16	8	6	2	4
ID=fig|671267.8.peg.3198;Name=FIG00404177: hypothetical protein	2	0	6	0	0	2	0	0	0	8	91	11	0	0	0
ID=fig|671267.8.peg.3199;Name=hypothetical protein	25	6	6	0	4	0	2	0	0	73	1160	189	6	33	0
ID=fig|671267.8.peg.3200;Name=hypothetical protein	9	2	0	0	4	0	0	0	0	44	753	108	0	25	0
ID=fig|671267.8.peg.3201;Name=hypothetical protein	12	6	7	4	10	3	4	0	0	41	822	137	2	31	0
ID=fig|671267.8.peg.3202;Name=hypothetical protein	10	0	5	2	0	1	0	0	0	5	192	27	2	23	0
ID=fig|671267.8.repeat.129;Name=repeat region	0	0	4	0	2	2	0	2	0	2	8	0	2	0	0
ID=fig|671267.8.peg.3203;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3204;Name=Degenerate transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3205;Name=Transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.130;Name=repeat region	22	16	13	5	12	0	10	2	0	23	13	7	9	8	8
ID=fig|671267.8.peg.3206;Name=Mobile element protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3207;Name=hypothetical protein	18	4	0	2	2	2	0	0	0	9	6	2	13	2	8
ID=fig|671267.8.peg.3208;Name=hypothetical protein	40	146	92	51	120	40	68	16	38	135	164	118	45	63	43
ID=fig|671267.8.peg.3209;Name=putative acetyltransferase	6	6	4	5	14	0	14	2	0	15	35	14	12	2	2
ID=fig|671267.8.peg.3210;Name=2-dehydropantoate 2-reductase (EC 1.1.1.169);Ontology_term=KEGG_ENZYME:1.1.1.169	6	18	10	10	36	8	30	4	2	14	43	10	14	2	0
ID=fig|671267.8.peg.3211;Name=GTP-binding and nucleic acid-binding protein YchF	14	14	24	22	72	18	48	6	6	64	60	44	36	10	0
ID=fig|671267.8.peg.3212;Name=hypothetical protein	12	8	2	22	70	6	70	0	6	14	28	14	16	0	6
ID=fig|671267.8.peg.3213;Name=DNA polymerase I (EC 2.7.7.7);Ontology_term=KEGG_ENZYME:2.7.7.7	28	68	75	28	52	60	28	14	18	117	157	141	36	54	28
ID=fig|671267.8.peg.3214;Name=Undecaprenyl diphosphate synthase (EC 2.5.1.31) @ Decaprenyl diphosphate synthase (EC 2.5.1.91);Ontology_term=KEGG_ENZYME:2.5.1.31,KEGG_ENZYME:2.5.1.91	30	46	28	40	82	34	42	6	14	98	88	80	36	20	6
ID=fig|671267.8.peg.3215;Name=Deoxyribose-phosphate aldolase (EC 4.1.2.4);Ontology_term=KEGG_ENZYME:4.1.2.4	72	80	48	56	62	32	46	24	10	110	184	94	51	38	44
ID=fig|671267.8.peg.3216;Name=hypothetical protein	3	5	3	2	16	0	8	0	3	16	21	7	5	4	0
ID=fig|671267.8.peg.3217;Name=D-aminoacyl-tRNA deacylase (EC 3.1.1.96);Ontology_term=KEGG_ENZYME:3.1.1.96	9	5	5	4	18	6	4	0	1	20	19	25	6	2	0
ID=fig|671267.8.peg.3218;Name=Excinuclease ABC subunit C	4	8	23	6	31	10	14	2	2	22	25	16	7	4	0
ID=fig|671267.8.peg.3219;Name=Adenine phosphoribosyltransferase (EC 2.4.2.7);Ontology_term=KEGG_ENZYME:2.4.2.7	12	36	18	26	20	10	13	8	6	54	51	16	25	6	9
ID=fig|671267.8.peg.3220;Name=tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG	8	40	26	24	54	30	45	6	14	52	66	32	29	10	6
ID=fig|671267.8.peg.3221;Name=Metal-dependent hydrolase YbeY%2C involved in rRNA and/or ribosome maturation and assembly	6	20	16	20	30	18	28	6	8	42	66	22	14	12	14
ID=fig|671267.8.peg.3222;Name=Gate supefamily SpmA/SpmB domains protein	18	18	6	8	10	10	6	8	2	14	14	16	6	4	10
ID=fig|671267.8.peg.3223;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3224;Name=hypothetical protein	2	2	3	4	8	6	8	2	4	15	12	22	2	0	2
ID=fig|671267.8.peg.3225;Name=hypothetical protein	10	32	15	8	40	4	24	6	8	17	31	19	10	14	10
ID=fig|671267.8.peg.3226;Name=hypothetical protein	24	36	36	6	36	24	37	16	16	20	35	37	12	24	6
ID=fig|671267.8.peg.3227;Name=Integrase	0	0	2	4	4	3	2	10	0	0	0	0	2	0	0
ID=fig|671267.8.repeat.131;Name=repeat region	0	0	0	0	2	1	1	0	5	3	2	0	2	0	2
ID=fig|671267.8.peg.3228;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3229;Name=Degenerate transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3230;Name=Transposase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3231;Name=Transcriptional regulator%2C AraC family	27	21	24	10	27	4	5	6	4	81	60	15	24	22	12
ID=fig|671267.8.peg.3232;Name=hypothetical protein	1342	1955	1324	410	606	326	231	108	150	6210	5783	2129	1456	1026	1656
ID=fig|671267.8.peg.3233;Name=FIG00409904: hypothetical protein	0	8	4	2	7	0	2	0	2	15	24	6	4	6	4
ID=fig|671267.8.peg.3234;Name=TonB-dependent receptor	166	68	46	96	162	96	211	96	155	20	170	54	54	66	32
ID=fig|671267.8.peg.3235;Name=Tartrate-resistant acid phosphatase type 5 precursor (EC 3.1.3.2);Ontology_term=KEGG_ENZYME:3.1.3.2	0	2	0	4	8	0	8	4	6	0	4	0	0	0	0
ID=fig|671267.8.peg.3236;Name=Sodium-calcium exchanger	14	10	12	6	20	6	14	2	4	20	26	11	4	10	4
ID=fig|671267.8.peg.3237;Name=conserved hypothetical protein%2C with a weak acyltransferase domain	53	79	52	23	138	28	70	6	6	166	116	69	59	19	34
ID=fig|671267.8.peg.3238;Name=Topoisomerase IV subunit B (EC 5.99.1.-);Ontology_term=KEGG_ENZYME:5.99.1.-	113	161	154	93	318	103	132	12	24	301	283	197	149	72	44
ID=fig|671267.8.peg.3239;Name=Phosphopantetheine adenylyltransferase (EC 2.7.7.3);Ontology_term=KEGG_ENZYME:2.7.7.3	28	55	51	16	55	20	14	2	0	65	54	45	25	27	16
ID=fig|671267.8.peg.3240;Name=Carboxy-terminal processing protease	25	53	59	14	91	23	26	10	6	95	126	94	10	32	18
ID=fig|671267.8.peg.3241;Name=hypothetical protein	7	6	12	6	5	4	6	0	2	21	18	4	9	4	4
ID=fig|671267.8.peg.3242;Name=hypothetical protein	35	16	21	16	15	2	20	0	29	60	63	49	9	43	2
ID=fig|671267.8.peg.3243;Name=hypothetical protein	42	17	28	4	10	3	16	2	19	39	67	99	5	49	6
ID=fig|671267.8.peg.3244;Name=hypothetical protein	142	94	124	33	44	40	70	14	64	263	158	154	41	190	14
ID=fig|671267.8.peg.3245;Name=hypothetical protein	17	14	18	3	10	6	4	2	3	38	13	2	1	13	0
ID=fig|671267.8.peg.3246;Name=Membrane-associated phospholipid phosphatase	39	34	65	22	46	12	34	8	11	37	45	28	32	33	6
ID=fig|671267.8.peg.3247;Name=Succinate dehydrogenase cytochrome b subunit	64	236	138	92	161	106	157	22	19	224	266	159	191	66	43
ID=fig|671267.8.peg.3248;Name=Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1);Ontology_term=KEGG_ENZYME:1.3.5.1	122	804	404	324	617	399	455	108	111	636	814	372	537	184	193
ID=fig|671267.8.peg.3249;Name=Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1);Ontology_term=KEGG_ENZYME:1.3.5.1	92	403	233	122	244	173	172	38	60	360	372	223	284	106	114
ID=fig|671267.8.peg.3250;Name=alpha-L-fucosidase (EC 3.2.1.51);Ontology_term=KEGG_ENZYME:3.2.1.51	37	66	71	40	57	26	52	16	24	65	83	38	30	44	22
ID=fig|671267.8.peg.3251;Name=alpha-L-fucosidase (EC 3.2.1.51);Ontology_term=KEGG_ENZYME:3.2.1.51	46	72	37	26	53	20	43	4	12	74	60	29	34	38	12
ID=fig|671267.8.peg.3252;Name=hypothetical protein	6	57	8	2	2	10	8	0	2	124	102	41	28	2	23
ID=fig|671267.8.peg.3253;Name=hypothetical protein	20	104	32	4	12	26	8	0	0	198	247	71	75	18	49
ID=fig|671267.8.peg.3254;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	40	195	110	22	48	40	24	6	2	328	390	150	153	48	50
ID=fig|671267.8.peg.3255;Name=Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	5	13	14	24	34	18	23	5	4	34	28	30	17	9	3
ID=fig|671267.8.peg.3256;Name=Thioesterase family protein	11	21	26	4	24	10	11	5	12	30	22	26	13	7	1
ID=fig|671267.8.peg.3257;Name=tRNA-dihydrouridine synthase BT3326	14	20	32	8	18	8	18	0	6	28	34	29	6	14	4
ID=fig|671267.8.peg.3258;Name=hypothetical protein	92	136	146	56	92	64	54	14	22	162	147	160	48	99	29
ID=fig|671267.8.peg.3259;Name=Lactaldehyde reductase (EC 1.1.1.77);Ontology_term=KEGG_ENZYME:1.1.1.77	266	820	990	222	438	456	282	122	100	1254	970	1369	422	570	245
ID=fig|671267.8.peg.3260;Name=Oar protein	2	2	0	6	10	0	4	2	0	6	4	10	6	4	0
ID=fig|671267.8.peg.3261;Name=Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46);Ontology_term=KEGG_ENZYME:3.1.4.46	0	2	0	0	4	0	0	0	2	2	2	8	0	0	0
ID=fig|671267.8.peg.3262;Name=FIG00407436: hypothetical protein	4	4	0	2	8	2	2	0	2	2	6	6	0	0	0
ID=fig|671267.8.peg.3263;Name=hypothetical protein	10	2	10	2	8	2	6	0	0	10	20	20	6	0	4
ID=fig|671267.8.peg.3264;Name=4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8);Ontology_term=KEGG_ENZYME:1.17.1.8	81	101	64	64	145	49	117	26	23	136	204	132	61	72	38
ID=fig|671267.8.peg.3265;Name=Signal peptidase I (EC 3.4.21.89);Ontology_term=KEGG_ENZYME:3.4.21.89	43	125	79	99	205	96	144	20	37	173	255	165	75	96	40
ID=fig|671267.8.peg.3266;Name=Signal peptidase I (EC 3.4.21.89);Ontology_term=KEGG_ENZYME:3.4.21.89	36	38	46	28	50	26	49	6	16	73	77	58	18	22	14
ID=fig|671267.8.peg.3267;Name=hypothetical protein	11	25	28	27	49	16	26	2	10	43	35	28	26	20	7
ID=fig|671267.8.peg.3268;Name=D-mannonate oxidoreductase (EC 1.1.1.57);Ontology_term=KEGG_ENZYME:1.1.1.57	20	74	57	47	62	32	38	4	9	131	150	138	65	37	12
ID=fig|671267.8.peg.3269;Name=Mannonate dehydratase (EC 4.2.1.8);Ontology_term=KEGG_ENZYME:4.2.1.8	115	265	236	95	153	178	112	26	27	344	391	397	137	223	112
ID=fig|671267.8.peg.3270;Name=Putative large secreted protein SCO0341	36	144	142	46	176	96	109	26	32	220	175	146	88	75	58
ID=fig|671267.8.peg.3271;Name=Peptidase%2C M16 family	0	6	0	2	20	2	3	0	2	4	8	2	8	2	2
ID=fig|671267.8.peg.3272;Name=Lysine decarboxylase	18	24	17	12	20	8	13	2	10	20	65	57	8	16	14
ID=fig|671267.8.peg.3273;Name=D-arabinose 5-phosphate isomerase (EC 5.3.1.13);Ontology_term=KEGG_ENZYME:5.3.1.13	14	25	24	16	32	20	19	4	16	76	121	66	19	26	14
ID=fig|671267.8.peg.3274;Name=Fructokinase (EC 2.7.1.4);Ontology_term=KEGG_ENZYME:2.7.1.4	47	39	31	12	28	11	29	4	10	64	105	48	21	22	16
ID=fig|671267.8.peg.3275;Name=Chitinase (EC 3.2.1.14);Ontology_term=KEGG_ENZYME:3.2.1.14	50	51	65	38	57	50	60	16	29	106	95	57	27	42	24
ID=fig|671267.8.peg.3276;Name=Membrane alanine aminopeptidase N (EC 3.4.11.2);Ontology_term=KEGG_ENZYME:3.4.11.2	6	27	15	6	21	9	11	4	3	24	22	16	9	22	2
ID=fig|671267.8.peg.3277;Name=Membrane alanine aminopeptidase N (EC 3.4.11.2);Ontology_term=KEGG_ENZYME:3.4.11.2	0	8	7	6	7	6	10	0	0	24	16	14	14	0	0
ID=fig|671267.8.peg.3278;Name=tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13);Ontology_term=KEGG_ENZYME:2.8.1.13	6	8	13	10	15	4	10	0	2	36	33	24	9	6	4
ID=fig|671267.8.peg.3279;Name=Ferredoxin domain protein	2	18	22	14	30	6	6	2	12	30	43	18	10	10	2
ID=fig|671267.8.peg.3280;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3281;Name=hypothetical protein	110	67	22	30	47	22	26	4	4	67	145	39	64	19	8
ID=fig|671267.8.peg.3282;Name=putative cell surface protein	8197	8219	1795	976	1477	597	953	84	224	5762	13193	3933	4911	1479	1224
ID=fig|671267.8.peg.3283;Name=Clostripain-related protein	13	25	5	10	26	8	13	0	2	32	80	16	23	4	6
ID=fig|671267.8.peg.3284;Name=hypothetical protein	2	0	1	0	0	0	0	0	0	0	3	0	0	1	0
ID=fig|671267.8.peg.3285;Name=hypothetical protein	374	296	564	387	306	393	252	20	174	1350	1302	3263	2007	665	314
ID=fig|671267.8.repeat.132;Name=repeat region	0	0	0	3	2	2	2	0	0	7	4	2	2	0	0
ID=fig|671267.8.peg.3286;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0
ID=fig|671267.8.peg.3287;Name=ATPase	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0
ID=fig|671267.8.peg.3288;Name=archaeal ATPase%2C fused to C-terminal DUF234 domain	48	24	12	16	20	4	16	4	6	24	10	22	11	26	0
ID=fig|671267.8.repeat.133;Name=repeat region	3	0	4	6	4	4	4	0	2	8	9	6	8	1	3
ID=fig|671267.8.peg.3289;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3290;Name=Putative helicase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3291;Name=hypothetical protein	8	0	4	0	16	4	2	0	2	4	84	52	2	2	0
ID=fig|671267.8.peg.3292;Name=hypothetical protein	4	4	2	0	14	6	4	0	0	8	40	20	0	6	0
ID=fig|671267.8.peg.3293;Name=hypothetical protein	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ID=fig|671267.8.repeat.134;Name=repeat region	1	0	0	0	8	1	1	0	1	3	0	2	0	0	0
ID=fig|671267.8.peg.3294;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.3295;Name=hypothetical protein	616	982	668	246	627	415	408	38	152	1294	1526	1362	762	456	358
ID=fig|671267.8.peg.3296;Name=hypothetical protein	0	0	3	1	9	0	0	0	0	7	4	4	0	0	2
ID=fig|671267.8.peg.3297;Name=hypothetical protein	69	28	22	11	1	16	10	0	0	52	33	20	29	18	4
ID=fig|671267.8.peg.3298;Name=hypothetical protein	1882	1160	620	323	620	306	202	44	36	2320	1629	894	1482	630	267
ID=fig|671267.8.repeat.135;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.136;Name=repeat region	2	3	4	1	0	1	2	0	2	5	2	0	4	0	0
