PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.2602;Name=FIG00405292: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2603;Name=FIG00402868: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2604;Name=FIG00408093: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2605;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2606;Name=FIG00411741: hypothetical protein	36	70	60	48	124	68	120	46	66	78	110	92	82	62	40
ID=fig|823.92.peg.2607;Name=Putative mobilization protein BF0133	0	0	2	2	0	0	2	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.2608;Name=FIG00403811: hypothetical protein	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.2609;Name=FIG00407458: hypothetical protein	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2610;Name=Conjugative transposon protein TraN	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
ID=fig|823.92.peg.2611;Name=Adenine-specific methyltransferase (EC 2.1.1.72);Ontology_term=KEGG_ENZYME:2.1.1.72	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0
ID=fig|823.92.peg.2612;Name=Conjugative transposon protein TraM	2	0	2	0	2	0	0	2	0	2	0	0	0	4	0
ID=fig|823.92.peg.2613;Name=hypothetical protein	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ID=fig|823.92.peg.2614;Name=FIG00403140: hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.2615;Name=Conjugative transposon protein TraK	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.2616;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2617;Name=FIG01290742: hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.2618;Name=FIG00896865: hypothetical protein	0	0	0	0	0	0	1	0	2	0	4	0	2	0	0
ID=fig|823.92.peg.2619;Name=FIG00897793: hypothetical protein	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.2620;Name=FIG00898215: hypothetical protein	0	0	2	0	0	0	0	0	0	0	4	2	0	0	0
ID=fig|823.92.peg.2621;Name=Conjugative transposon protein TraG	0	0	6	0	0	0	0	2	0	4	0	0	0	2	0
ID=fig|823.92.peg.2622;Name=FIG00897980: hypothetical protein	2	0	2	0	0	2	0	0	0	0	0	0	0	0	2
ID=fig|823.92.peg.2623;Name=Conjugative transposon protein TraE	2	0	0	0	0	0	2	0	0	2	4	2	2	2	2
ID=fig|823.92.peg.2624;Name=FIG00898505: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2625;Name=FIG00896660: hypothetical protein	0	0	0	0	0	0	4	0	2	6	0	2	0	0	0
ID=fig|823.92.peg.2626;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	0	2	0	0	0	0	4	0	0	2	2	0	4	0	2
ID=fig|823.92.peg.2627;Name=FIG00403804: hypothetical protein	0	4	2	0	2	4	0	2	0	4	2	6	0	6	2
ID=fig|823.92.peg.2628;Name=putative excisionase	2	4	0	0	0	0	0	0	0	6	0	2	0	0	0
ID=fig|823.92.peg.2629;Name=hypothetical protein	12	12	4	6	2	4	2	2	2	14	12	12	10	6	0
ID=fig|823.92.peg.2630;Name=hypothetical protein	2	2	0	0	2	2	2	0	0	14	4	2	6	0	2
ID=fig|823.92.peg.2631;Name=hypothetical protein	0	4	0	0	2	2	0	2	0	12	4	5	0	1	4
ID=fig|823.92.peg.2632;Name=Regulatory sensor-transducer%2C BlaR1/MecR1 family / TonB-dependent receptor	28	6	2	12	8	4	14	6	8	17	18	16	16	6	2
ID=fig|823.92.peg.2633;Name=Transcriptional regulator%2C MecI family	4	2	2	0	0	0	2	0	0	2	0	0	0	4	0
ID=fig|823.92.peg.2634;Name=condensation domain protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.repeat.41;Name=repeat region	2	0	1	3	1	0	0	0	0	2	2	2	9	1	0
ID=fig|823.92.peg.2635;Name=condensation domain protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2636;Name=cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2637;Name=Transcriptional regulator%2C AraC family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2638;Name=BexA%2C multidrug efflux pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2639;Name=Glyoxalase family protein	12	40	47	14	37	14	40	18	24	38	34	32	37	44	16
ID=fig|823.92.peg.2640;Name=Uncharacterized protein MJ0298	9	7	0	2	6	0	2	0	0	8	6	5	2	2	6
ID=fig|823.92.peg.2641;Name=hypothetical protein	1	1	4	0	4	0	2	2	0	9	0	1	2	0	0
ID=fig|823.92.peg.2642;Name=Transcriptional regulator%2C AcrR family	8	2	0	2	8	2	0	0	4	9	4	8	2	6	6
ID=fig|823.92.peg.2643;Name=Transcriptional regulator%2C AraC family	14	2	11	4	20	0	6	2	4	12	24	6	8	12	0
ID=fig|823.92.peg.2644;Name=Transcriptional regulator	8	4	15	12	18	8	9	4	7	23	24	17	14	8	0
ID=fig|823.92.peg.2645;Name=FIG00514436: hypothetical protein	2	4	0	4	14	2	9	0	3	21	33	11	5	2	0
ID=fig|823.92.peg.2646;Name=hypothetical protein	2	0	2	0	2	6	6	0	0	8	5	4	1	2	0
ID=fig|823.92.peg.2647;Name=Ribosomal-protein-S5p-alanine acetyltransferase (EC 2.3.1.128);Ontology_term=KEGG_ENZYME:2.3.1.128	16	8	12	2	13	4	17	0	6	16	23	16	12	9	4
ID=fig|823.92.peg.2648;Name=Inositol-1-monophosphatase (EC 3.1.3.25);Ontology_term=KEGG_ENZYME:3.1.3.25	2	1	0	5	1	1	3	0	0	4	1	7	0	1	0
ID=fig|823.92.repeat.42;Name=repeat region	5	2	1	3	1	4	7	0	0	7	12	4	1	1	0
ID=fig|823.92.peg.2649;Name=Lactoylglutation lyase	3	3	0	3	4	0	3	1	0	2	5	2	0	4	1
ID=fig|823.92.repeat.43;Name=repeat region	16	16	3	11	12	5	8	3	4	26	16	16	18	8	2
ID=fig|823.92.peg.2650;Name=Zinc finger domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2651;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2652;Name=Transcriptional repressor%2C BlaI/MecI family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2653;Name=Integrase	40	36	36	21	64	32	94	19	32	82	90	76	47	57	17
ID=fig|823.92.peg.2654;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ID=fig|823.92.peg.2655;Name=Bifunctional deaminase-reductase domain protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2656;Name=CTnDOT excision operon activator RteC	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.2657;Name=Putative mobilization protein BF0133	12	8	4	12	10	8	6	2	8	6	2	12	0	6	2
ID=fig|823.92.peg.2658;Name=Putative conjugative transposon mobilization protein BF0132	2	2	6	2	4	0	2	2	12	4	4	6	2	5	0
ID=fig|823.92.peg.2659;Name=hypothetical protein clusted with conjugative transposons%2C BF0131	4	0	8	0	0	2	0	0	2	10	6	2	0	1	0
ID=fig|823.92.repeat.44;Name=repeat region	6	4	9	0	2	2	0	0	2	0	0	4	0	2	0
ID=fig|823.92.peg.2660;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2661;Name=Conjugative transposon protein TraA	68	24	84	34	114	92	50	42	50	54	18	32	8	78	4
ID=fig|823.92.peg.2662;Name=Conjugative transposon protein TraB	0	0	2	2	2	0	2	2	0	2	0	0	0	2	0
ID=fig|823.92.peg.2663;Name=Conjugative transposon protein TraC	0	0	0	0	2	2	0	2	0	0	0	4	0	0	0
ID=fig|823.92.peg.2664;Name=Conjugative transposon protein TraD	8	8	19	15	9	10	11	4	16	26	13	40	0	6	0
ID=fig|823.92.peg.2665;Name=Conjugative transposon protein TraE	4	18	18	12	34	34	21	21	16	26	13	19	2	14	0
ID=fig|823.92.peg.2666;Name=Conjugative transposon protein TraF	20	28	47	20	37	14	20	24	42	20	6	30	2	24	2
ID=fig|823.92.peg.2667;Name=Conjugative transposon protein TraG	30	51	134	84	123	65	82	54	58	99	74	78	6	55	2
ID=fig|823.92.peg.2668;Name=Conjugative transposon protein TraH	4	11	15	10	17	10	11	4	10	24	10	26	2	4	0
ID=fig|823.92.peg.2669;Name=Conjugative transposon protein TraI	11	8	24	12	20	20	27	8	21	21	23	20	2	12	0
ID=fig|823.92.peg.2670;Name=Conjugative transposon protein TraJ	7	11	44	8	27	14	12	8	18	26	11	16	0	12	0
ID=fig|823.92.peg.2671;Name=Conjugative transposon protein TraK	8	14	38	10	11	20	12	12	20	33	18	19	2	10	0
ID=fig|823.92.peg.2672;Name=Conjugative transposon protein TraL	8	12	6	19	10	6	16	6	6	9	7	27	2	4	0
ID=fig|823.92.peg.2673;Name=Conjugative transposon protein TraM	36	47	86	19	52	48	46	26	56	76	33	108	4	34	4
ID=fig|823.92.peg.2674;Name=Conjugative transposon protein TraN	28	35	47	30	45	42	27	28	30	64	24	47	2	25	2
ID=fig|823.92.peg.2675;Name=Conjugative transposon protein TraO	20	28	46	17	28	17	29	27	34	38	21	43	0	16	0
ID=fig|823.92.peg.2676;Name=Conjugative transposon protein TraP @ DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	37	42	73	27	75	47	48	31	52	52	15	65	0	33	0
ID=fig|823.92.peg.2677;Name=Conjugative transposon protein TraQ	17	16	39	18	23	26	27	26	35	38	21	39	2	32	2
ID=fig|823.92.peg.2678;Name=Lysozyme (EC 3.2.1.17);Ontology_term=KEGG_ENZYME:3.2.1.17	6	10	21	8	7	14	15	12	9	16	3	20	0	14	0
ID=fig|823.92.peg.2679;Name=hypothetical protein	23	10	2	12	6	2	42	4	20	22	14	30	27	8	10
ID=fig|823.92.peg.2680;Name=hypothetical protein	92	28	13	25	20	10	130	9	53	55	44	16	41	16	18
ID=fig|823.92.peg.2681;Name=FIG00938196: hypothetical protein	1	5	3	7	8	4	10	4	7	11	7	4	2	2	2
ID=fig|823.92.peg.2682;Name=FIG00898899: hypothetical protein	0	3	0	2	2	4	15	3	6	2	5	0	4	0	0
ID=fig|823.92.repeat.45;Name=repeat region	0	0	0	0	0	0	0	3	2	2	2	2	0	0	0
ID=fig|823.92.peg.2683;Name=Integrase/recombinase%2C RitC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2684;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2685;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2686;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2687;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2688;Name=FIG00897394: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2689;Name=FIG00404869: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2690;Name=FIG00938992: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2691;Name=FIG00897206: hypothetical protein	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0
ID=fig|823.92.peg.2692;Name=FIG00899057: hypothetical protein	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID=fig|823.92.peg.2693;Name=FIG00896355: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2694;Name=FIG00408583: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2695;Name=hypothetical protein	2	2	0	3	0	0	0	0	0	0	2	4	6	2	2
ID=fig|823.92.peg.2696;Name=hypothetical protein	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.2697;Name=Methyltransferase type 11	20	16	19	20	22	26	34	10	32	30	30	28	26	28	16
ID=fig|823.92.peg.2698;Name=Glyoxalase family protein	4	2	0	0	2	0	0	0	2	0	6	0	0	0	0
ID=fig|823.92.peg.2699;Name=Transcriptional regulator%2C AraC family	2	2	0	0	4	0	2	2	2	6	2	6	6	4	0
ID=fig|823.92.peg.2700;Name=Transcriptional regulator%2C AsnC family	0	0	0	2	0	2	0	0	0	4	2	0	0	2	0
ID=fig|823.92.peg.2701;Name=Permease of the drug/metabolite transporter (DMT) superfamily	2	0	2	0	0	2	0	0	2	6	7	6	4	10	2
ID=fig|823.92.peg.2702;Name=Uncharacterized protein clustered with Type I restriction-modification system	4	16	5	2	4	2	8	2	2	10	24	16	12	13	0
ID=fig|823.92.peg.2703;Name=hypothetical protein	16	3	0	7	11	0	8	0	2	27	8	14	18	5	4
ID=fig|823.92.peg.2704;Name=hypothetical protein	14	0	2	0	1	0	0	0	0	2	4	5	8	2	0
ID=fig|823.92.peg.2705;Name=Aldehyde dehydrogenase (EC 1.2.1.3);Ontology_term=KEGG_ENZYME:1.2.1.3	92	31	4	12	19	10	36	2	10	60	54	45	34	28	10
ID=fig|823.92.peg.2706;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2707;Name=Mobile element protein	27	8	8	16	6	8	10	1	8	8	2	8	6	20	0
ID=fig|823.92.peg.2708;Name=RteB%2C two-component system response regulator	2	6	2	2	2	6	17	6	0	12	0	0	0	4	6
ID=fig|823.92.peg.2709;Name=CTnDOT two-component system sensor histidine kinase RteA	0	4	0	0	4	0	6	0	0	6	0	2	2	2	0
ID=fig|823.92.peg.2710;Name=Xenobiotic acyltransferase XAT family	2	0	2	0	0	0	2	0	0	0	4	2	0	4	0
ID=fig|823.92.peg.2711;Name=Multidrug efflux pump BexA	7	0	3	4	14	0	8	2	6	12	6	12	8	10	2
ID=fig|823.92.peg.2712;Name=putative acetyltransferase	0	2	0	0	2	0	0	0	0	2	5	0	4	6	2
ID=fig|823.92.peg.2713;Name=Transcriptional regulator	3	4	14	2	10	4	8	1	10	6	15	4	18	2	2
ID=fig|823.92.peg.2714;Name=hypothetical protein clusted with conjugative transposons%2C BF0131	5	1	0	2	2	0	1	0	1	7	0	6	0	4	0
ID=fig|823.92.repeat.46;Name=repeat region	4	0	2	2	4	2	0	4	2	6	4	2	0	0	0
ID=fig|823.92.peg.2715;Name=Conjugative transposon protein TraB	28	14	30	8	38	30	14	18	12	32	8	26	2	18	0
ID=fig|823.92.peg.2716;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2717;Name=hypothetical protein	38	5	21	18	41	26	17	16	17	40	8	34	6	29	2
ID=fig|823.92.peg.2718;Name=FIG00896888: hypothetical protein	51	41	63	30	43	57	45	20	51	65	19	41	4	37	4
ID=fig|823.92.peg.2719;Name=hypothetical protein	2	6	0	6	8	0	1	6	3	8	0	0	4	2	0
ID=fig|823.92.peg.2720;Name=Tyrosine type site-specific recombinase	5	5	4	6	5	2	4	8	10	15	6	12	8	4	1
ID=fig|823.92.repeat.47;Name=repeat region	111	1	21	10	17	0	10	4	4	23	49	64	20	58	6
ID=fig|823.92.peg.2721;Name=FIG00897739: hypothetical protein	13	12	10	8	10	2	17	2	4	16	32	26	14	8	4
ID=fig|823.92.peg.2722;Name=Thiamine-monophosphate kinase (EC 2.7.4.16);Ontology_term=KEGG_ENZYME:2.7.4.16	9	12	25	12	30	18	46	12	10	40	43	49	30	12	10
ID=fig|823.92.peg.2723;Name=Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130);Ontology_term=KEGG_ENZYME:2.7.1.130	125	78	85	37	59	46	82	52	57	82	73	92	62	100	40
ID=fig|823.92.peg.2724;Name=Signal peptide peptidase SppA (protease 4)	43	66	87	57	89	92	99	44	77	114	107	155	76	88	34
ID=fig|823.92.peg.2725;Name=putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	4	10	8	4	10	13	8	4	2	8	9	24	2	4	3
ID=fig|823.92.peg.2726;Name=Putative glycosyltransferase	2	4	20	10	35	21	16	14	16	26	18	46	17	9	4
ID=fig|823.92.peg.2727;Name=Xanthan lyase	20	28	32	20	59	58	60	18	44	68	46	92	49	55	20
ID=fig|823.92.peg.2728;Name=FIG00898166: hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2729;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.repeat.48;Name=repeat region	48	36	38	34	68	30	32	18	9	58	104	68	34	41	3
ID=fig|823.92.peg.2730;Name=Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73);Ontology_term=KEGG_ENZYME:3.1.3.73	14	12	12	15	24	17	18	6	22	6	26	13	6	22	2
ID=fig|823.92.peg.2731;Name=Cobalamin synthase (EC 2.7.8.26);Ontology_term=KEGG_ENZYME:2.7.8.26	12	9	8	6	14	14	18	4	1	14	12	15	9	10	4
ID=fig|823.92.peg.2732;Name=Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21);Ontology_term=KEGG_ENZYME:2.4.2.21	16	22	26	24	38	27	33	12	17	50	44	36	41	17	8
ID=fig|823.92.peg.2733;Name=Adenosylcobinamide kinase (EC 2.7.1.156) / Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62);Ontology_term=KEGG_ENZYME:2.7.1.156,KEGG_ENZYME:2.7.7.62	16	23	29	8	29	28	29	16	24	45	19	34	14	21	10
ID=fig|823.92.peg.2734;Name=Ribosomal large subunit pseudouridine synthase F (EC 4.2.1.70);Ontology_term=KEGG_ENZYME:4.2.1.70	16	41	51	24	41	52	42	19	20	59	51	34	28	26	14
ID=fig|823.92.peg.2735;Name=Adenosylcobinamide-phosphate synthase (EC 6.3.1.10);Ontology_term=KEGG_ENZYME:6.3.1.10	8	21	30	22	26	16	36	25	12	28	38	38	34	26	4
ID=fig|823.92.peg.2736;Name=RNA polymerase ECF-type sigma factor	2	0	2	6	10	8	2	0	0	4	6	14	6	6	2
ID=fig|823.92.peg.2737;Name=putative anti-sigma factor	10	22	20	10	32	22	18	8	8	24	24	44	17	14	0
ID=fig|823.92.peg.2738;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	18	16	14	14	36	18	25	18	25	20	30	23	33	16	4
ID=fig|823.92.peg.2739;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	12	6	16	6	10	10	23	12	11	20	4	29	20	7	8
ID=fig|823.92.peg.2740;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	24	34	23	2	16	16	26	16	22	18	26	29	26	23	14
ID=fig|823.92.peg.2741;Name=Arylsulfatase (EC 3.1.6.1);Ontology_term=KEGG_ENZYME:3.1.6.1	4	8	13	2	6	8	16	2	12	6	6	17	8	6	6
ID=fig|823.92.peg.2742;Name=SSU ribosomal protein S6p	96	73	98	77	239	51	161	28	70	103	322	145	187	70	24
ID=fig|823.92.peg.2743;Name=SSU ribosomal protein S18p @ SSU ribosomal protein S18p%2C zinc-independent	29	35	37	55	123	30	102	13	23	80	159	78	108	35	15
ID=fig|823.92.peg.2744;Name=LSU ribosomal protein L9p	44	66	63	71	221	60	192	23	47	114	240	101	180	59	52
ID=fig|823.92.peg.2745;Name=N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28);Ontology_term=KEGG_ENZYME:3.5.1.28	63	28	39	16	27	18	36	20	10	56	52	22	44	22	6
ID=fig|823.92.peg.2746;Name=ABC transporter%2C substrate-binding protein (cluster 9%2C phospholipid)	105	51	29	61	80	28	92	18	34	79	155	54	65	42	11
ID=fig|823.92.peg.2747;Name=Chromosomal replication initiator protein DnaA	72	58	66	50	97	56	90	22	36	116	111	84	104	54	26
ID=fig|823.92.peg.2748;Name=Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1);Ontology_term=KEGG_ENZYME:1.17.4.1	46	63	64	72	118	61	155	46	38	102	165	57	86	24	18
ID=fig|823.92.peg.2749;Name=4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25);Ontology_term=KEGG_ENZYME:2.4.1.25	15	46	42	66	109	45	104	27	34	111	207	91	102	24	26
ID=fig|823.92.peg.2750;Name=FIG00896517: hypothetical protein	95	65	37	66	145	148	350	121	164	55	107	60	100	84	58
ID=fig|823.92.peg.2751;Name=Dihydroneopterin aldolase (EC 4.1.2.25);Ontology_term=KEGG_ENZYME:4.1.2.25	4	1	8	8	8	8	14	6	3	11	12	11	15	0	4
ID=fig|823.92.peg.2752;Name=Periplasmic [FeFe] hydrogenase (EC 1.12.7.2);Ontology_term=KEGG_ENZYME:1.12.7.2	28	75	58	69	111	56	145	44	36	75	81	67	123	26	41
ID=fig|823.92.peg.2753;Name=FIG00898264: hypothetical protein	20	39	22	31	57	30	72	20	27	42	31	48	50	20	25
ID=fig|823.92.peg.2754;Name=MarC family integral membrane protein	0	4	12	2	12	8	9	0	2	13	9	6	24	8	8
ID=fig|823.92.peg.2755;Name=DNA-binding response regulator%2C AraC family	36	20	22	24	42	6	22	12	11	32	26	29	38	20	18
ID=fig|823.92.peg.2756;Name=hypothetical protein	47	9	8	24	3	14	43	8	50	28	54	34	5	31	9
ID=fig|823.92.peg.2757;Name=Manganese catalase (EC 1.11.1.6);Ontology_term=KEGG_ENZYME:1.11.1.6	287	363	512	505	626	519	819	398	510	418	719	736	89	570	49
ID=fig|823.92.peg.2758;Name=hypothetical protein	452	134	94	290	221	153	474	75	452	124	289	386	50	274	65
ID=fig|823.92.peg.2759;Name=Transglycosylase-associated protein	74	36	26	111	62	59	178	25	144	46	86	124	18	56	13
ID=fig|823.92.peg.2760;Name=hypothetical protein	17	4	3	4	3	2	20	4	6	6	13	10	2	22	0
ID=fig|823.92.peg.2761;Name=hypothetical protein	11	4	1	0	1	0	2	0	0	0	1	4	2	4	0
ID=fig|823.92.peg.2762;Name=Oxidoreductase	50	37	64	54	68	42	134	54	107	41	80	94	14	54	10
ID=fig|823.92.peg.2763;Name=hypothetical protein	12	3	0	10	6	4	16	0	31	13	17	13	4	4	0
ID=fig|823.92.peg.2764;Name=Inner membrane protein YihY%2C formerly thought to be RNase BN	12	1	12	2	6	2	14	0	13	6	14	12	0	9	0
ID=fig|823.92.peg.2765;Name=Glycosyltransferase	22	8	6	14	14	8	22	2	9	26	29	17	15	11	0
ID=fig|823.92.peg.2766;Name=Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241);Ontology_term=KEGG_ENZYME:2.3.1.241	10	9	16	4	11	4	23	2	2	23	28	19	19	6	4
ID=fig|823.92.peg.2767;Name=tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5);Ontology_term=KEGG_ENZYME:2.8.4.5	6	40	14	18	25	18	53	20	14	45	47	30	44	10	2
ID=fig|823.92.peg.2768;Name=FIG00896548: hypothetical protein	4	6	8	4	6	0	2	0	2	19	10	10	24	8	2
ID=fig|823.92.peg.2769;Name=beta-glycosyl hydrolase	2	16	22	6	28	8	18	10	6	25	32	38	28	25	12
ID=fig|823.92.peg.2770;Name=Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3);Ontology_term=KEGG_ENZYME:6.2.1.3	24	20	28	30	70	20	68	16	24	70	82	46	57	26	14
ID=fig|823.92.peg.2771;Name=hypothetical protein	89	39	36	28	100	26	84	22	50	72	166	86	80	50	20
ID=fig|823.92.peg.2772;Name=TonB-dependent receptor%2C putative	46	22	22	19	56	26	50	14	34	67	102	64	64	36	14
ID=fig|823.92.peg.2773;Name=NADH dehydrogenase (EC 1.6.99.3);Ontology_term=KEGG_ENZYME:1.6.99.3	13	16	14	33	14	16	38	6	8	31	14	26	24	16	4
ID=fig|823.92.peg.2774;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	4	2	0	0	0	0
ID=fig|823.92.peg.2775;Name=transcriptional regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.2776;Name=Sialic acid-specific 9-O-acetylesterase	14	16	14	2	4	2	4	0	2	52	58	54	18	40	6
ID=fig|823.92.peg.2777;Name=Cellobiose epimerase (EC 5.1.3.11);Ontology_term=KEGG_ENZYME:5.1.3.11	2	6	13	2	6	6	10	2	0	28	30	36	24	34	6
ID=fig|823.92.peg.2778;Name=Sodium:galactoside symporter family protein	16	16	27	8	8	6	10	4	6	30	31	38	22	50	2
ID=fig|823.92.peg.2779;Name=4-O-beta-D-mannosyl-D-glucose phosphorylase (EC 2.4.1.281);Ontology_term=KEGG_ENZYME:2.4.1.281	2	2	14	4	4	2	10	0	0	29	19	20	19	9	6
ID=fig|823.92.peg.2780;Name=Mannan endo-1%2C4-beta-mannosidase	6	10	12	2	6	2	6	0	0	47	21	36	27	29	0
ID=fig|823.92.peg.2781;Name=FIG00899022: hypothetical protein	8	4	6	2	10	2	6	4	6	14	21	16	18	8	0
ID=fig|823.92.peg.2782;Name=FIG00897120: hypothetical protein	2	6	2	8	10	4	11	4	2	24	22	22	18	7	2
ID=fig|823.92.peg.2783;Name=tolB protein precursor%2C periplasmic protein involved in the tonb-independent uptake of group A colicins	2	4	12	4	8	4	7	4	2	8	11	10	10	2	4
ID=fig|823.92.peg.2784;Name=FIG00897658: hypothetical protein	0	8	16	6	14	8	28	2	4	29	13	24	30	6	12
ID=fig|823.92.peg.2785;Name=FIG00896332: hypothetical protein	4	8	10	6	12	3	20	4	10	19	16	20	18	12	4
ID=fig|823.92.peg.2786;Name=Acetylornithine aminotransferase (EC 2.6.1.11);Ontology_term=KEGG_ENZYME:2.6.1.11	54	75	59	30	104	49	84	44	20	124	238	97	106	32	50
ID=fig|823.92.peg.2787;Name=N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38);Ontology_term=KEGG_ENZYME:1.2.1.38	19	27	46	23	38	22	44	23	16	53	129	37	36	24	24
ID=fig|823.92.peg.2788;Name=Argininosuccinate synthase (EC 6.3.4.5);Ontology_term=KEGG_ENZYME:6.3.4.5	55	96	77	21	85	50	102	29	18	95	182	110	108	42	26
ID=fig|823.92.peg.2789;Name=N-acetyl-L-citrulline:glutamate N-acetyltransferase	10	12	11	13	10	2	18	6	12	25	39	16	16	6	6
